iter	Passed	Remaining
799	1952	488
800	1954	485
801	1956	482
802	1957	480
803	1959	477
804	1961	475
805	1963	472
806	1965	470
807	1967	467
808	1969	465
809	1971	462
810	1973	459
811	1975	457
812	1977	454
813	1979	452
814	1981	449
815	1983	447
816	1985	444
817	1987	442
818	1989	439
819	1990	437
820	1992	434
821	1995	432
822	1996	429
823	1998	426
824	2001	424
825	2003	422
826	2005	419
827	2007	417
828	2009	414
829	2011	411
830	2013	409
831	2015	406
832	2016	404
833	2019	401
834	2020	399
835	2023	396
836	2025	394
837	2027	391
838	2029	389
839	2031	386
840	2033	384
841	2036	382
842	2038	379
843	2040	377
844	2042	374
845	2044	372
846	2046	369
847	2048	367
848	2050	364
849	2051	362
850	2054	359
851	2056	357
852	2057	354
853	2059	352
854	2061	349
855	2062	347
856	2064	344
857	2067	342
858	2069	339
859	2071	337
860	2074	334
861	2075	332
862	2077	329
863	2079	327
864	2081	324
865	2084	322
866	2087	320
867	2089	317
868	2090	315
869	2092	312
870	2094	310
871	2096	307
872	2097	305
873	2100	302
874	2102	300
875	2104	297
876	2105	295
877	2107	292
878	2109	290
879	2111	287
880	2127	287
881	2129	284
882	2132	282
883	2134	280
884	2135	277
885	2138	275
886	2140	272
887	2141	270
888	2143	267
889	2146	265
890	2148	262
891	2150	260
892	2152	257
893	2154	255
894	2156	252
895	2157	250
896	2159	247
897	2161	245
898	2163	243
899	2165	240
900	2167	238
901	2169	235
902	2171	233
903	2173	230
904	2176	228
905	2178	226
906	2180	223
907	2181	221
908	2183	218
909	2185	216
910	2186	213
911	2188	211
912	2191	208
913	2193	206
914	2195	203
915	2196	201
916	2198	199
917	2200	196
918	2201	194
919	2203	191
920	2206	189
921	2208	186
922	2210	184
923	2212	182
924	2214	179
925	2216	177
926	2218	174
927	2220	172
928	2222	169
929	2224	167
930	2226	164
931	2227	162
932	2229	160
933	2230	157
934	2232	155
935	2234	152
936	2237	150
937	2239	148
938	2241	145
939	2243	143
940	2245	140
941	2247	138
942	2249	135
943	2251	133
944	2253	131
945	2254	128
946	2256	126
947	2258	123
948	2259	121
949	2260	118
950	2262	116
951	2264	114
952	2266	111
953	2269	109
954	2270	106
955	2272	104
956	2274	102
957	2276	99
958	2277	97
959	2279	94
960	2281	92
961	2283	90
962	2284	87
963	2286	85
964	2288	83
965	2290	80
966	2294	78
967	2298	75
968	2300	73
969	2302	71
970	2304	68
971	2306	66
972	2308	64
973	2310	61
974	2314	59
975	2315	56
976	2317	54
977	2319	52
978	2321	49
979	2323	47
980	2325	45
981	2328	42
982	2330	40
983	2332	37
984	2334	35
985	2336	33
986	2338	30
987	2340	28
988	2344	26
989	2346	23
990	2347	21
991	2349	18
992	2351	16
993	2354	14
994	2356	11
995	2358	9
996	2360	7
997	2362	4
998	2363	2
999	2365	0
